dataset_type,dataset_shuffle,k_folds_splits,k_folds_stratified,knn_k_neighbours,knn_voting_type,knn_metric,f_score
iris,False,5,False,14,uniform,euclidean,0.8397435897435898
iris,False,5,False,14,uniform,manhattan,0.8658078368223295
iris,False,5,False,14,uniform,chebyshev,0.7734151551355852
iris,False,5,False,14,distance,euclidean,0.8798076923076924
iris,False,5,False,14,distance,manhattan,0.899749373433584
iris,False,5,False,14,distance,chebyshev,0.8406721190226345
iris,False,5,False,14,custom,euclidean,0.8397435897435898
iris,False,5,False,14,custom,manhattan,0.8593106220480354
iris,False,5,False,14,custom,chebyshev,0.7476903585151008
iris,False,5,False,15,uniform,euclidean,0.8397435897435898
iris,False,5,False,15,uniform,manhattan,0.873015873015873
iris,False,5,False,15,uniform,chebyshev,0.7611408199643493
iris,False,5,False,15,distance,euclidean,0.8664529914529915
iris,False,5,False,15,distance,manhattan,0.899749373433584
iris,False,5,False,15,distance,chebyshev,0.8406721190226345
iris,False,5,False,15,custom,euclidean,0.8132586367880487
iris,False,5,False,15,custom,manhattan,0.8596491228070177
iris,False,5,False,15,custom,chebyshev,0.721124141227234
iris,False,5,True,1,uniform,euclidean,0.9466666666666667
iris,False,5,True,1,uniform,manhattan,0.9333333333333332
iris,False,5,True,1,uniform,chebyshev,0.9402837902837903
iris,False,5,True,1,distance,euclidean,0.9466666666666667
iris,False,5,True,1,distance,manhattan,0.9333333333333332
iris,False,5,True,1,distance,chebyshev,0.9402837902837903
iris,False,5,True,1,custom,euclidean,0.9327837801787382
iris,False,5,True,1,custom,manhattan,0.9193143924236361
iris,False,5,True,1,custom,chebyshev,0.9260665884217602
iris,False,5,True,2,uniform,euclidean,0.9466453247965854
iris,False,5,True,2,uniform,manhattan,0.9332264957264957
iris,False,5,True,2,uniform,chebyshev,0.9402268191291854
iris,False,5,True,2,distance,euclidean,0.9466666666666667
iris,False,5,True,2,distance,manhattan,0.9333333333333332
iris,False,5,True,2,distance,chebyshev,0.9402837902837903
